metric,category,cfm_mean,cfm_std,xgb_mean,xgb_std,delta
rmse_mean,both_rain,8.394087767601013,7.822968939203494,9.585131895542144,7.359803091016177,-1.1910441279411312
rmse_mean,prism_only,4.015651294589043,5.786730342868867,3.1865170121192934,2.8436013647069402,0.8291342824697496
rmse_mean,all,4.274034128586451,6.498089980610755,4.747686421871185,5.756121564494472,-0.4736522932847338
crps,both_rain,4.815230778495885,5.543427683140533,5.565657726851101,5.776828557678575,-0.7504269483552157
crps,prism_only,2.0860403102448832,4.029751446919178,1.1428502690035192,1.0066164308728518,0.9431900412413641
crps,all,2.344221633259421,4.398610673317616,2.4043638823540756,4.0681784854549825,-0.0601422490946546
spread_skill,both_rain,0.22550073363170867,0.29040854409120304,0.4142402201382753,0.3260190688765088,-0.1887394865065666
spread_skill,prism_only,0.37356403385020853,0.34513703809088375,0.9039185508492384,0.5157474638322157,-0.5303545169990299
spread_skill,all,0.5562409802540083,0.47210921776383463,0.885524599388037,0.5309518756731398,-0.3292836191340287
coverage_50,both_rain,0.21597416480179027,0.13645632177722747,0.054516664002557544,0.030441530453557453,0.1614575007992327
coverage_50,prism_only,0.3412449048913043,0.13237674094807694,0.06293458280051152,0.027430599537644488,0.2783103220907928
coverage_50,all,0.29658777573529405,0.15179381497593536,0.042901481244671774,0.03341625198910143,0.2536862944906223
coverage_80,both_rain,0.40288722826086953,0.2268755924087144,0.3422104779411765,0.14439595660639873,0.06067675031969305
coverage_80,prism_only,0.5701196851023017,0.2042562739071805,0.5138107416879796,0.057323632455164496,0.05630894341432213
coverage_80,all,0.5378145313832055,0.21701782079581813,0.4155673886402387,0.12936200732228864,0.12224714274296677
coverage_90,both_rain,0.41152643462276217,0.22558775102502235,0.5185132273017903,0.22331878275788442,-0.10698679267902811
coverage_90,prism_only,0.5870649176790281,0.20730788266195646,0.7676070971867007,0.08443874160007239,-0.1805421795076726
coverage_90,all,0.5467219802323103,0.21689745811788264,0.6495147991261722,0.18648780277622673,-0.10279281889386183
